Name,Weight
王熙凤,1679
林黛玉,1328
薛宝钗,845
贾探春,431
李纨,358
史湘云,351
贾惜春,194
妙玉,147
贾迎春,140
贾巧姐,101
贾元春,65
秦可卿,6
